target,cv_type,fold,method,seed,episode,f1,auc
copiapo,random,4,fomaml,42,6,0.8,0.9
copiapo,random,4,fomaml,42,7,0.8,0.9
copiapo,random,4,fomaml,42,8,0.8,0.9
copiapo,random,4,fomaml,42,9,0.8,0.9
huasco,spatial,0,independent,42,0,0.9333333333333333,0.9614406779661017
huasco,spatial,0,independent,42,1,0.8672566371681416,0.9580508474576271
huasco,spatial,0,independent,42,2,0.9180327868852459,0.969774011299435
huasco,spatial,0,independent,42,3,0.8909090909090909,0.9790960451977401
huasco,spatial,0,independent,42,4,0.8727272727272727,0.9661016949152542
huasco,spatial,0,independent,42,5,0.7927927927927928,0.90409604519774
huasco,spatial,0,independent,42,6,0.8495575221238938,0.918361581920904
huasco,spatial,0,independent,42,7,0.9180327868852459,0.974858757062147
huasco,spatial,0,independent,42,8,0.9133858267716536,0.9830508474576272
huasco,spatial,0,independent,42,9,0.8368794326241135,0.9206214689265537
huasco,spatial,0,finetune,42,0,0.8828828828828829,0.9683615819209039
huasco,spatial,0,finetune,42,1,0.9206349206349206,0.9555084745762712
huasco,spatial,0,finetune,42,2,0.7572815533980582,0.9190677966101695
huasco,spatial,0,finetune,42,3,0.9107142857142857,0.964406779661017
huasco,spatial,0,finetune,42,4,0.9147286821705426,0.9649717514124293
huasco,spatial,0,finetune,42,5,0.9421487603305785,0.9686440677966103
huasco,spatial,0,finetune,42,6,0.8253968253968254,0.8837570621468926
huasco,spatial,0,finetune,42,7,0.921875,0.9713276836158192
huasco,spatial,0,finetune,42,8,0.9090909090909091,0.9668079096045198
huasco,spatial,0,finetune,42,9,0.9421487603305785,0.9718926553672316
huasco,spatial,0,reptile,42,0,0.9047619047619048,0.9516949152542373
huasco,spatial,0,reptile,42,1,0.928,0.9531073446327684
huasco,spatial,0,reptile,42,2,0.9090909090909091,0.9683615819209039
huasco,spatial,0,reptile,42,3,0.8976377952755905,0.9338983050847457
huasco,spatial,0,reptile,42,4,0.9230769230769231,0.9748587570621469
huasco,spatial,0,reptile,42,5,0.90625,0.9440677966101695
huasco,spatial,0,reptile,42,6,0.9076923076923077,0.9562146892655368
huasco,spatial,0,reptile,42,7,0.8818897637795275,0.9025423728813559
huasco,spatial,0,reptile,42,8,0.8805970149253731,0.9049435028248588
huasco,spatial,0,reptile,42,9,0.9180327868852459,0.9536723163841808
huasco,spatial,0,fomaml,42,0,0.9491525423728814,0.9607344632768362
huasco,spatial,0,fomaml,42,1,0.9354838709677419,0.971045197740113
huasco,spatial,0,fomaml,42,2,0.8596491228070176,0.9437853107344633
huasco,spatial,0,fomaml,42,3,0.9344262295081968,0.9545197740112994
huasco,spatial,0,fomaml,42,4,0.8411214953271028,0.9355932203389831
huasco,spatial,0,fomaml,42,5,0.905982905982906,0.97090395480226
huasco,spatial,0,fomaml,42,6,0.9152542372881356,0.9528248587570621
huasco,spatial,0,fomaml,42,7,0.9193548387096774,0.9457627118644067
huasco,spatial,0,fomaml,42,8,0.8849557522123894,0.9500000000000001
huasco,spatial,0,fomaml,42,9,0.8983050847457628,0.9728813559322034
huasco,spatial,1,independent,42,0,0.0,
huasco,spatial,1,independent,42,1,0.0,
huasco,spatial,1,independent,42,2,0.0,
huasco,spatial,1,independent,42,3,0.0,
huasco,spatial,1,independent,42,4,0.0,
huasco,spatial,1,independent,42,5,0.0,
huasco,spatial,1,independent,42,6,0.0,
huasco,spatial,1,independent,42,7,0.0,
huasco,spatial,1,independent,42,8,0.0,
huasco,spatial,1,independent,42,9,0.0,
huasco,spatial,1,finetune,42,0,0.0,
huasco,spatial,1,finetune,42,1,0.0,
huasco,spatial,1,finetune,42,2,0.0,
huasco,spatial,1,finetune,42,3,0.0,
huasco,spatial,1,finetune,42,4,0.0,
huasco,spatial,1,finetune,42,5,0.0,
huasco,spatial,1,finetune,42,6,0.0,
huasco,spatial,1,finetune,42,7,0.0,
huasco,spatial,1,finetune,42,8,0.0,
huasco,spatial,1,finetune,42,9,0.0,
huasco,spatial,1,reptile,42,0,0.0,
huasco,spatial,1,reptile,42,1,0.0,
huasco,spatial,1,reptile,42,2,0.0,
huasco,spatial,1,reptile,42,3,0.0,
huasco,spatial,1,reptile,42,4,0.0,
huasco,spatial,1,reptile,42,5,0.0,
huasco,spatial,1,reptile,42,6,0.0,
huasco,spatial,1,reptile,42,7,0.0,
huasco,spatial,1,reptile,42,8,0.0,
huasco,spatial,1,reptile,42,9,0.0,
huasco,spatial,1,fomaml,42,0,0.0,
huasco,spatial,1,fomaml,42,1,0.0,
huasco,spatial,1,fomaml,42,2,0.0,
huasco,spatial,1,fomaml,42,3,0.0,
huasco,spatial,1,fomaml,42,4,0.0,
huasco,spatial,1,fomaml,42,5,0.0,
