target,K,method,seed,episode,step,f1,auc
copiapo,5,finetune,42,15,5,0.7,0.85
copiapo,5,finetune,42,15,10,0.7,0.83
copiapo,5,finetune,42,15,20,0.7619047619047619,0.88
copiapo,5,finetune,42,15,50,0.8421052631578947,0.9
copiapo,5,finetune,42,15,100,0.8421052631578947,0.9
copiapo,5,finetune,42,15,200,0.8,0.9
copiapo,5,finetune,42,16,0,0.5882352941176471,0.78
copiapo,5,finetune,42,16,1,0.47058823529411764,0.78
copiapo,5,finetune,42,16,2,0.5555555555555556,0.78
copiapo,5,finetune,42,16,3,0.75,0.85
copiapo,5,finetune,42,16,5,0.6666666666666666,0.8500000000000001
copiapo,5,finetune,42,16,10,0.6666666666666666,0.86
copiapo,5,finetune,42,16,20,0.6666666666666666,0.89
copiapo,5,finetune,42,16,50,0.6666666666666666,0.9199999999999999
copiapo,5,finetune,42,16,100,0.6666666666666666,0.9199999999999999
copiapo,5,finetune,42,16,200,0.6666666666666666,0.9199999999999999
copiapo,5,finetune,42,17,0,0.7058823529411765,0.84
copiapo,5,finetune,42,17,1,0.8,0.86
copiapo,5,finetune,42,17,2,0.7368421052631579,0.8300000000000001
