target,K,method,seed,episode,f1,auc
huasco,10,dann,42,44,0.9090909090909091,0.9199999999999999
huasco,10,dann,42,45,0.8,0.92
huasco,10,dann,42,46,0.7368421052631579,0.9299999999999999
huasco,10,dann,42,47,0.7,0.88
huasco,10,dann,42,48,0.47058823529411764,0.79
huasco,10,dann,42,49,1.0,1.0
huasco,20,dann,42,0,0.8,0.92
huasco,20,dann,42,1,1.0,1.0
huasco,20,dann,42,2,0.9523809523809523,0.98
huasco,20,dann,42,3,0.8181818181818182,0.79
huasco,20,dann,42,4,0.8571428571428571,0.9600000000000001
huasco,20,dann,42,5,0.8,0.85
huasco,20,dann,42,6,0.8,0.845
huasco,20,dann,42,7,0.8695652173913043,0.895
huasco,20,dann,42,8,0.9473684210526315,1.0
huasco,20,dann,42,9,0.8421052631578947,0.96
huasco,20,dann,42,10,1.0,1.0
huasco,20,dann,42,11,1.0,1.0
huasco,20,dann,42,12,0.9473684210526315,0.99
huasco,20,dann,42,13,0.8571428571428571,0.97
huasco,20,dann,42,14,0.8695652173913043,0.86
huasco,20,dann,42,15,0.9,0.9800000000000001
huasco,20,dann,42,16,0.8695652173913043,0.835
huasco,20,dann,42,17,0.9090909090909091,0.86
huasco,20,dann,42,18,0.9,0.9249999999999999
huasco,20,dann,42,19,1.0,1.0
huasco,20,dann,42,20,0.8571428571428571,0.91
huasco,20,dann,42,21,0.8421052631578947,0.9
huasco,20,dann,42,22,0.8181818181818182,0.775
huasco,20,dann,42,23,0.9090909090909091,1.0
huasco,20,dann,42,24,0.9,0.9400000000000001
huasco,20,dann,42,25,0.9,0.89
huasco,20,dann,42,26,0.7777777777777778,0.93
huasco,20,dann,42,27,0.9523809523809523,1.0
huasco,20,dann,42,28,1.0,1.0
huasco,20,dann,42,29,0.9523809523809523,1.0
huasco,20,dann,42,30,0.9523809523809523,1.0
huasco,20,dann,42,31,0.7777777777777778,0.94
huasco,20,dann,42,32,0.8333333333333334,0.93
huasco,20,dann,42,33,0.7777777777777778,0.9299999999999999
huasco,20,dann,42,34,0.8571428571428571,0.98
huasco,20,dann,42,35,0.7368421052631579,0.92
huasco,20,dann,42,36,0.8181818181818182,0.86
huasco,20,dann,42,37,0.9,0.98
huasco,20,dann,42,38,0.8235294117647058,0.99
huasco,20,dann,42,39,0.8421052631578947,0.98
huasco,20,dann,42,40,0.9523809523809523,0.9500000000000001
huasco,20,dann,42,41,1.0,1.0
huasco,20,dann,42,42,1.0,1.0
huasco,20,dann,42,43,0.8181818181818182,0.95
huasco,20,dann,42,44,0.782608695652174,0.65
huasco,20,dann,42,45,0.9,0.9700000000000001
huasco,20,dann,42,46,0.9090909090909091,0.96
huasco,20,dann,42,47,0.9473684210526315,1.0
huasco,20,dann,42,48,0.9473684210526315,1.0
huasco,20,dann,42,49,0.631578947368421,0.7
elqui,1,dann,42,0,0.782608695652174,0.87
elqui,1,dann,42,1,0.3333333333333333,0.7799999999999999
elqui,1,dann,42,2,0.75,0.98
elqui,1,dann,42,3,0.5454545454545454,0.64
elqui,1,dann,42,4,0.6666666666666666,0.8400000000000001
elqui,1,dann,42,5,0.7777777777777778,0.8400000000000001
elqui,1,dann,42,6,0.8421052631578947,0.92
